tileName,library_name,feature_id_x,source_x,capture_date_x,spectrum_x,project_row_x,project_col_x,priority,feature_id_y,source_y,capture_date_y,spectrum_y,project_row_y,project_col_y,gpc2_loaded,group
R15C2,3d87291b,ff1a51b603465e190f686b923d87291b,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,TRUE,ff1a51b603465e190f686b923d87291b,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x,p1
R15C3,3d87291b,ff1a51b603465e190f686b923d87291b,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,TRUE,ff1a51b603465e190f686b923d87291b,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x,p1
R15C2,458ac37e,a5fd5302c744f0db9f290b87458ac37e,GE01,7/4/2024,Pan Sharpened Natural Color,1,1,TRUE,a5fd5302c744f0db9f290b87458ac37e,GE01,7/4/2024,Pan Sharpened Natural Color,1,1,x,p1
R16C1,458ac37e,a5fd5302c744f0db9f290b87458ac37e,GE01,7/4/2024,Pan Sharpened Natural Color,1,1,TRUE,a5fd5302c744f0db9f290b87458ac37e,GE01,7/4/2024,Pan Sharpened Natural Color,1,1,x,p1
R16C2,458ac37e,a5fd5302c744f0db9f290b87458ac37e,GE01,7/4/2024,Pan Sharpened Natural Color,1,1,TRUE,a5fd5302c744f0db9f290b87458ac37e,GE01,7/4/2024,Pan Sharpened Natural Color,1,1,x,p2
R14C1,75485d2c,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,TRUE,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x,p2
R15C1,75485d2c,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,TRUE,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x,p2
R15C2,75485d2c,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,TRUE,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x,p2
R15C3,75485d2c,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,TRUE,8d4d018661acd528f4d26d6d75485d2c,WV02,7/13/2024,Pan Sharpened Natural Color,2,2,x,p2
R7C1,7a5950c7,f99ab230a86310404a1176677a5950c7,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,f99ab230a86310404a1176677a5950c7,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R8C1,7a5950c7,f99ab230a86310404a1176677a5950c7,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,f99ab230a86310404a1176677a5950c7,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R1C1,8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,TRUE,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x,p2
R1C2,8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,TRUE,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x,p2
R2C1,8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,TRUE,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x,p2
R2C2,8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,TRUE,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x,p2
R3C1,8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,TRUE,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x,p2
R3C2,8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,TRUE,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x,p2
R4C1,8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,TRUE,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x,p2
R4C2,8f05b7dd,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,TRUE,110ad9d30d8237c7c3ec2f018f05b7dd,WV02,12/6/2023,Pan Sharpened Natural Color,2,3,x,p2
R10C1,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R10C2,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R11C1,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R11C2,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R12C1,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R12C2,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R12C3,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R13C1,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R13C2,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R13C3,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R14C3,97d3e907,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,TRUE,8d6d70e0e6912591da29657e97d3e907,WV02,4/26/2024,Pan Sharpened Natural Color,1,2,x,p2
R1C1,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R1C2,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R2C1,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R2C2,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R3C1,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R3C2,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R4C1,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R5C1,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R7C1,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R7C2,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R7C3,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R8C1,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R8C2,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R8C3,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p2
R9C1,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p3
R9C2,9edd4910,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,TRUE,32cd90de25ab051cbc471d459edd4910,WV02,8/21/2024,Pan Sharpened Natural Color,2,1,x,p3
R1C3,aa5f6d08,20b76366efab8e7795dda759aa5f6d08,GE01,7/27/2023,Pan Sharpened Natural Color,2,1,TRUE,20b76366efab8e7795dda759aa5f6d08,GE01,7/27/2023,Pan Sharpened Natural Color,2,1,x,p3
